                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     59,                 0.4674,                0.82571,                0.47952,                 1.0365,                0.90708,                 0.7872,                0.87609,                0.67453,                0.91865,                0.79692,                0.88189,                0.67072,                0.83579,                 1.7558,                  1.016,                 1.4287,             0.00027231,             0.00027231,             0.00027231
                     60,                0.46462,                0.81914,                0.46839,                 1.0287,                0.80977,                0.77334,                0.81921,                0.65467,                0.85176,                0.80849,                0.86022,                0.65537,                0.85215,                 1.9399,                  1.133,                  1.464,             0.00026613,             0.00026613,             0.00026613
                     61,                0.45446,                0.82212,                0.47077,                 1.0265,                0.85475,                0.82465,                0.86062,                 0.6636,                0.86974,                 0.8372,                0.87622,                0.65364,                0.87536,                 2.0689,                 1.0304,                 1.4582,             0.00025994,             0.00025994,             0.00025994
                     62,                0.45223,                0.82229,                0.44799,                 1.0215,                0.76933,                0.77568,                0.79307,                0.62531,                0.77797,                0.78579,                0.80284,                0.62115,                  0.852,                 1.9225,                 1.2315,                 1.4536,             0.00025375,             0.00025375,             0.00025375
                     63,                 0.4527,                0.81843,                0.46674,                 1.0265,                0.88191,                0.77035,                0.84672,                0.62282,                0.89058,                0.78045,                0.85909,                 0.6507,                0.82004,                 1.8666,                 1.1746,                 1.4094,             0.00024756,             0.00024756,             0.00024756
                     64,                0.45675,                0.81405,                0.45365,                 1.0299,                0.89695,                0.75324,                0.86097,                0.66626,                 0.9069,                0.76334,                0.87277,                0.65583,                0.81977,                 2.0322,                 1.0559,                 1.3922,             0.00024137,             0.00024137,             0.00024137
                     65,                0.44216,                0.78876,                0.44712,                  1.018,                0.88656,                0.75846,                0.83277,                0.65471,                0.89636,                0.76856,                0.84217,                0.64633,                0.84024,                 2.1673,                 1.0931,                 1.4555,             0.00023519,             0.00023519,             0.00023519
                     66,                0.45174,                0.79483,                0.44697,                 1.0272,                0.85519,                0.78715,                 0.8414,                0.69118,                0.87365,                0.80676,                0.85982,                0.67644,                 0.7647,                  1.843,                0.90909,                 1.3746,               0.000229,               0.000229,               0.000229
                     67,                0.44934,                0.79343,                0.44888,                 1.0228,                0.81235,                0.78201,                0.83261,                0.66223,                0.84632,                0.81676,                0.86841,                0.65834,                 0.8652,                 1.7454,                0.90542,                 1.4784,             0.00022281,             0.00022281,             0.00022281
                     68,                0.45161,                0.77731,                0.43831,                 1.0217,                0.85894,                0.76724,                0.83353,                0.64395,                0.86856,                0.77704,                0.84382,                0.63577,                 0.8894,                 1.9129,                 1.1827,                 1.4923,             0.00021662,             0.00021662,             0.00021662
